artist,song,line_number,text,stanza,source_url
Malibu Ken,Corn Maze,57,Who sit around depressed and guess the order of the Tetris rain,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,58,With biblical misreckoning,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,59,Son of surly Satan torn asunder,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,60,"Private number, public urination",5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,61,We socialize with pundits who encompass all the wrong stuff,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,62,"I count the bread quick, I got some walls up",5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,63,Walls up,6,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,64,I keep my coat on I got some walls up,6,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,65,"Chips down, walls up",6,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,66,I cut the lights off,6,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
